,价格,面积,编号,户型,楼层,位置1,位置2,小区,地铁
3271,2140,11,56565-A,4室1卫,2/6层,大兴区,亦庄桥,贵园南里丁区,地铁：距亦庄线亦庄桥站1100米
3272,4130,15,61603-C,3室1卫,1/20层,海淀区,苏州街,稻香园,"地铁：距10号线,16号线苏州街站850米"
3273,2980,17,61914-C,4室1卫,10/24层,丰台区,宋家庄,一栋苑,"地铁：距5号线,10号线,亦庄线宋家庄站650米"
3274,2970,17,61914-D,4室1卫,10/24层,丰台区,宋家庄,一栋苑,"地铁：距5号线,10号线,亦庄线宋家庄站650米"
3275,2170,12,66421-B,3室1卫,10/27层,通州区,次渠南,次渠家园东里2区,地铁：距亦庄线次渠南站450米
3276,2110,15,67498-D,4室1卫,4/6层,通州区,次渠南,玉江佳园,地铁：距亦庄线次渠南站650米
3277,2390,12,68261-C,3室1卫,14/18层,朝阳区,星火,姚家园东里7号院,"地铁：距3号线,20号线星火站800米"
3278,2560,11,7016-B,4室1卫,1/14层,昌平区,天通苑南,天通苑西一区,地铁：距5号线天通苑南站150米
3279,3590,17,7182-D,5室1卫,23/27层,朝阳区,三元桥,国际港,"地铁：距10号线,12号线,机场线三元桥站300米"
3280,2150,9,70261-A,3室1卫,4/6层,丰台区,海户屯,海户屯,地铁：距8号线南段海户屯站200米
3281,1880,8,73925-C,4室1卫,7/17层,昌平区,南邵,路劲世界城二期,地铁：距昌平线南邵站500米
3282,2830,8,73582-A,2室1卫,9/11层,东城区,天坛东门,天坛东里南区,地铁：距5号线天坛东门站900米
3283,2010,8,75581-C,4室1卫,10/19层,石景山区,古城,古城现代嘉园,地铁：距1号线古城站1250米
3284,2370,12,78213-A,3室1卫,8/15层,朝阳区,成寿寺,方于路58号院,地铁：距10号线成寿寺站1050米
3285,2700,10,80124-C,3室2卫,21/24层,丰台区,七里庄,望园东里,"地铁：距9号线,14号线西段七里庄站250米"
3286,3420,25,122797-A,4室1卫,12/24层,朝阳区,高碑店,兴隆家园,地铁：距八通线高碑店站600米
3287,2950,18,119003-B,3室1卫,4/5层,大兴区,旧宫,灵秀山庄,地铁：距亦庄线旧宫站900米
